,EGFP-GAK F6/8_balanced_accuracy,EGFP-GAK F6/8_accuracy,EGFP-GAK F6/8_roc_auc,EGFP-GAK F6/8_r2,EGFP-GAK F6/8_corr,EGFP-GAK F6/7_balanced_accuracy,EGFP-GAK F6/7_accuracy,EGFP-GAK F6/7_roc_auc,EGFP-GAK F6/7_r2,EGFP-GAK F6/7_corr,A7D2/8_balanced_accuracy,A7D2/8_accuracy,A7D2/8_roc_auc,A7D2/8_r2,A7D2/8_corr,A7D2/7_balanced_accuracy,A7D2/7_accuracy,A7D2/7_roc_auc,A7D2/7_r2,A7D2/7_corr,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/12_balanced_accuracy,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/12_accuracy,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/12_roc_auc,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/12_r2,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/12_corr,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/10_balanced_accuracy,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/10_accuracy,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/10_roc_auc,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/10_r2,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/10_corr,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/11_balanced_accuracy,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/11_accuracy,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/11_roc_auc,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/11_r2,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/11_corr,CLTA-TagRFP EGFP-GAK A8/9_balanced_accuracy,CLTA-TagRFP EGFP-GAK A8/9_accuracy,CLTA-TagRFP EGFP-GAK A8/9_roc_auc,CLTA-TagRFP EGFP-GAK A8/9_r2,CLTA-TagRFP EGFP-GAK A8/9_corr,CLTA-TagRFP EGFP-GAK A8/8_balanced_accuracy,CLTA-TagRFP EGFP-GAK A8/8_accuracy,CLTA-TagRFP EGFP-GAK A8/8_roc_auc,CLTA-TagRFP EGFP-GAK A8/8_r2,CLTA-TagRFP EGFP-GAK A8/8_corr,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/11_balanced_accuracy,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/11_accuracy,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/11_roc_auc,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/11_r2,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/11_corr
gb_basic,0.8177083333333333,0.8181818181818182,0.8912760416666666,0.3744122937720512,0.6121133310418199,0.8066495151395211,0.8050314465408805,0.8972491589154957,0.4558789864477182,0.6821013504273509,0.7186340197720629,0.7069306930693069,0.7987158012283639,0.22370627021877088,0.4821963316839527,0.746404884398438,0.7407407407407407,0.82738796256121,0.32119107598896934,0.5668540602173745,0.7908357075023742,0.7219047619047619,0.8958003587633218,0.07236208651810605,0.47466033947325353,0.8337061894108874,0.8200836820083682,0.8993288590604027,0.3820360285797092,0.6189378133621283,0.832673426685981,0.8071065989847716,0.9155319491389023,0.3853632233878982,0.6230151011258537,0.8078364224156711,0.8073529411764706,0.8778570743906796,0.40563553592196233,0.6372770465189719,0.7575136344018519,0.7574334898278561,0.8279024600776866,0.2319623987588565,0.48789489188235025,0.5,0.6200941915227629,0.5,0.0,
gb_dasc,0.7895833333333333,0.7840909090909091,0.8558593750000001,0.29876579464326314,0.5470544211925668,0.7797348110033644,0.779874213836478,0.837284781318029,0.2904195103795941,0.5389981229820802,0.7323217394160344,0.7128712871287128,0.7849459716885079,0.22142703710849643,0.47116587832815937,0.7396175540816959,0.7348927875243665,0.7966357775987106,0.27533958204336295,0.5249393042530847,0.7281576448243114,0.6495238095238095,0.8280837817874854,-0.07641961251065266,0.42135195891699745,0.7890380313199106,0.7698744769874477,0.8606263982102907,0.3194928501469968,0.5712890464091802,0.8278126508932883,0.7918781725888325,0.8978110413648801,0.32890587538285354,0.5751499637176295,0.7679441263866015,0.763235294117647,0.8466830488240574,0.31661865680746726,0.5633172255412104,0.7084984501902931,0.7073552425665102,0.7614617255855927,0.12052907361229492,0.36400315704934805,0.5,0.6200941915227629,0.5,0.0,
rf_basic,0.8114583333333334,0.8125,0.8847656250000001,0.368623062125933,0.6071912978928349,0.834098555313675,0.8333333333333334,0.9038195131604988,0.4691865204645108,0.6904640023201426,0.7247840509738233,0.7069306930693069,0.8058265182119749,0.22072685828206517,0.4840115836714916,0.7560047728258849,0.7485380116959064,0.8328271245273663,0.32883734627153727,0.5740312667646295,0.7959797404241848,0.7314285714285714,0.8946396538989132,0.08454150962041929,0.4742504146823623,0.8548844146159582,0.8410041841004184,0.8902311707680836,0.3693780915602092,0.6080652752535526,0.8137775631739901,0.7715736040609137,0.8966038950587478,0.3427398218593616,0.5879403831967019,0.7797253374463005,0.7779411764705882,0.8726112984602515,0.37553207793463395,0.6134070578729197,0.737807509710833,0.7386541471048513,0.8289127790638364,0.2215060459677648,0.48112003084451505,0.5,0.6200941915227629,0.5,0.0,
rf_dasc,0.734375,0.7329545454545454,0.82421875,0.2245367259154739,0.4919390728663249,0.7829606174549772,0.7830188679245284,0.8347120522461904,0.2709367934159699,0.530254712806883,0.7009064932505665,0.6811881188118812,0.7558708575557527,0.16165925166452288,0.4264505328636704,0.7328922085167049,0.7309941520467836,0.7752122977747473,0.20063330191208817,0.4636109243561185,0.7122507122507122,0.6419047619047619,0.7932890155112378,-0.19735621692823235,0.3801966627175051,0.7433258762117823,0.7238493723849372,0.7736017897091723,0.18102864950410713,0.44032012687548755,0.8048768710767745,0.7791878172588832,0.8575889264445518,0.26010697858725984,0.5191293436193742,0.7689767251370263,0.7676470588235295,0.8285537517754599,0.27348474406848866,0.5286233946701564,0.693662455369404,0.6932707355242567,0.7530505748028407,0.09698259315042435,0.3615046998064838,0.5,0.6200941915227629,0.5,0.0,
ridge_basic,0.8291666666666666,0.8295454545454546,0.9029947916666666,0.3785776633715314,0.6154069176785493,0.7966554522066099,0.7955974842767296,0.887947753809618,0.406131253765981,0.6423139883930193,0.6994120931454659,0.691089108910891,0.7820639143429566,0.1871861930529043,0.4385595913879919,0.7567408417529288,0.7543859649122807,0.8310295667265852,0.3302953969586365,0.5750784138646934,0.8005698005698005,0.7180952380952381,0.8934789490345046,-0.0012305370503147284,0.435162178370974,0.8247949291573453,0.8117154811715481,0.8981357196122297,0.3810066459456911,0.6203815632423847,0.8477868984387575,0.8248730964467005,0.9123772734588765,0.3764137456461051,0.6135284166903435,0.7978459205813924,0.7970588235294118,0.8791467335895224,0.37382812547687017,0.6114785146136059,0.7287440656020716,0.729264475743349,0.8081669086200809,0.20453845515160607,0.4585212296017144,0.5,0.6200941915227629,0.5,0.0,
ridge_dasc,0.7875,0.7784090909090909,0.8622395833333334,0.3031572549974274,0.5509601882024373,0.7569958440530378,0.7578616352201258,0.8374035226598061,0.2763371311728743,0.5258109820800799,0.6964971918415608,0.6673267326732674,0.7878772949715899,0.20404955857198537,0.4517461864855171,0.7417560280171078,0.732943469785575,0.8020671914708981,0.2839998839852552,0.5358227245734777,0.7708135485913263,0.7066666666666667,0.8503745911153319,-0.03260733755018874,0.40792849658745783,0.7731916480238628,0.7364016736401674,0.8549589858314691,0.3024684635567533,0.5561082080501086,0.8159343312409464,0.766497461928934,0.8931273136970868,0.30347167525991425,0.5520228312299595,0.7708850721947733,0.7617647058823529,0.8468965397049469,0.31269200272513165,0.5607863761203061,0.6962569152901479,0.6932707355242567,0.749656687723153,0.11265178247712349,0.3570853636870541,0.5,0.6200941915227629,0.5,0.0,
svm_basic,0.8145833333333333,0.8125,0.8893229166666666,0.3663930757369882,0.6136702187002432,0.8153770037601424,0.8144654088050315,0.8935285968731447,0.4087095473961194,0.642271001577633,0.7171231976877853,0.7029702970297029,0.8041022103983972,0.20175966117010713,0.4827867027897004,0.753130229963429,0.7446393762183235,0.8323157503254199,0.30418500500437273,0.5643125520406331,0.7795188350743907,0.700952380952381,0.8927403186662446,-0.04933948054783266,0.4429983156197353,0.8482848620432513,0.8410041841004184,0.9002982848620432,0.35292863772690763,0.6050831782898087,0.8267342668598101,0.7944162436548223,0.9151778528891036,0.35412002385018715,0.5999903492961892,0.7943777830061258,0.7941176470588235,0.8755217455711535,0.3598292539428226,0.6101876104733542,0.7551006395417271,0.755868544600939,0.8256071722839095,0.20754333866588826,0.48527851946805106,0.5,0.6200941915227629,0.5,0.0,
svm_dasc,0.7885416666666667,0.7784090909090909,0.8481770833333333,0.243666185948461,0.5107262217343354,0.7821690085097961,0.7830188679245284,0.8538689887195724,0.30751084100435466,0.5620355518677351,0.7237658882648537,0.695049504950495,0.788813347784675,0.20309227760581738,0.4639116034604896,0.7497055724291823,0.7407407407407407,0.8035703217008616,0.2872091967633681,0.5423748617017555,0.7363880974992085,0.6647619047619048,0.8178220955998733,-0.27521948193958745,0.4010210743124262,0.7756152125279643,0.7531380753138075,0.8600298284862044,0.30389301462276164,0.5578298636848306,0.8095927893127314,0.7614213197969543,0.893191694833414,0.2821218378150866,0.5561382739487003,0.7710680643783929,0.7647058823529411,0.8532315548235869,0.29254896953481624,0.5536330908131656,0.7218238709930553,0.7198748043818466,0.7804861301840154,0.11483033188890379,0.38518305598974306,0.5,0.6200941915227629,0.5,0.0,
lstm,0.5,0.5454545454545454,0.5,0.0,,0.5,0.48742138364779874,0.5,0.0,,0.5,0.6059405940594059,0.5,2.220446049250313e-16,,0.5,0.5692007797270955,0.5,0.0,,0.5,0.36946386946386944,0.5,0.0,,0.5,0.6234309623430963,0.5,-2.220446049250313e-16,,0.5,0.7233502538071066,0.5,0.0,,0.5,0.5426470588235294,0.5,0.0,,0.5,0.5179968701095462,0.5,0.0,,0.5,0.6200941915227629,0.5,0.0,
