,clath_aux+gak_balanced_accuracy,clath_aux+gak_accuracy,clath_aux+gak_roc_auc,clath_aux+gak_r2,clath_aux+gak_corr,clath_aux+gak_a7d2_balanced_accuracy,clath_aux+gak_a7d2_accuracy,clath_aux+gak_a7d2_roc_auc,clath_aux+gak_a7d2_r2,clath_aux+gak_a7d2_corr,clath_aux+gak_a7d2_new_balanced_accuracy,clath_aux+gak_a7d2_new_accuracy,clath_aux+gak_a7d2_new_roc_auc,clath_aux+gak_a7d2_new_r2,clath_aux+gak_a7d2_new_corr,clath_aux+gak_new_balanced_accuracy,clath_aux+gak_new_accuracy,clath_aux+gak_new_roc_auc,clath_aux+gak_new_r2,clath_aux+gak_new_corr,clath_gak_balanced_accuracy,clath_gak_accuracy,clath_gak_roc_auc,clath_gak_r2,clath_gak_corr
gb_basic,0.7981735609004312,0.7975708502024291,0.8974144573967504,0.39564211465886556,0.6350822922671902,0.7254499124064342,0.7082514734774067,0.8123148590539894,0.27505325260829094,0.5279610850874131,0.8214164055048372,0.7170454545454545,0.9310532770132172,-0.15421430919045065,0.46056349926687934,0.8521408887756756,0.8420221169036335,0.917432786050066,0.35870028162150813,0.6059070685961757,0.7652596353565659,0.7573919636087946,0.8576690514654975,0.2623116844653506,0.5486410880874043
gb_dasc,0.7671782007771384,0.7672064777327935,0.8377354778417196,0.2577141372598495,0.5215225456119359,0.6775800286669852,0.6424361493123772,0.7726688166905559,0.21143297110080528,0.4860647476512313,0.4996423218422128,0.4420454545454545,0.5016308420765772,-0.6852070336070235,0.2589518226011306,0.7821943820484913,0.7740916271721959,0.8628221753930945,0.24831706875078396,0.5108747464778135,0.7363801061620125,0.7361637604245641,0.8047230556196631,0.208333030370213,0.4604181542045379
rf_basic,0.8084616267440525,0.8076923076923077,0.8975948059613397,0.3969014888053406,0.6379313318627184,0.7396082178690875,0.7190569744597249,0.8098025163242555,0.25534929078057067,0.514959636786358,0.8139221964845347,0.7125,0.9221368715083799,-0.17699097768812377,0.4398371183951187,0.8436595419493782,0.8341232227488151,0.9142139267767408,0.3524602470891026,0.5993862190899676,0.7597922917147473,0.7520849128127369,0.8596930533117932,0.2502123096803338,0.5556402514078174
rf_dasc,0.731870870427754,0.7327935222672065,0.8087485449149902,0.18154416437649346,0.4382819490846164,0.6868609651218347,0.6620825147347741,0.7260869565217392,0.1543423962766064,0.4184489277194632,0.5020609074805832,0.43068181818181817,0.5075197574601444,-0.7643452654261258,0.2483094595412964,0.7675358358613342,0.7614533965244866,0.817208160618762,0.17267213617334976,0.43416647385118395,0.6930417724440341,0.6952236542835482,0.7530486960535425,0.13415707351289263,0.3860057849348665
ridge_basic,0.8216188742970505,0.8218623481781376,0.8926598134212121,0.38227161783251706,0.6228219918199706,0.7332576843446409,0.7220039292730844,0.8063186813186813,0.2417244844276284,0.5043950872616118,0.7261718217740837,0.6079545454545454,0.766666098923559,-0.3838681593413682,0.4349111229246114,0.8443947849848319,0.8388625592417062,0.9062246717458259,0.3477649348089553,0.5915212354331324,0.7734237249019156,0.7672479150871873,0.8471636279713823,0.18732689333141284,0.526557949942257
ridge_dasc,0.7654484940894857,0.7651821862348178,0.8409161707081141,0.24842376818951162,0.517225637759166,0.6827520305781175,0.6522593320235757,0.765667303710782,0.19288989598788664,0.46839337184215635,0.47201594222646137,0.4238636363636364,0.4810686060771222,-0.752158021034667,0.28205504593623854,0.7730762105458167,0.7503949447077409,0.8589491234976727,0.22783595194708617,0.48867681585418493,0.7274221093930302,0.7210007581501138,0.8000738518347564,0.19943617857790097,0.4532600224447289
svm_basic,0.8041496565179611,0.8036437246963563,0.8933320217074089,0.3780000584864731,0.6163572654907342,0.691153049848702,0.6787819253438114,0.7889353400222965,0.21981657565095802,0.4735957490216304,0.8308693282463551,0.7477272727272727,0.9454540809374574,-0.29330585117830954,0.41333705562445805,0.8376907579371512,0.8278041074249605,0.9063751939420606,0.32856580051084494,0.5937338206321818,0.7561343180244634,0.7460197119029568,0.8523171013154858,0.23732935102478114,0.5312305807637685
svm_dasc,0.7712278458183726,0.771255060728745,0.8388339645533094,0.260152795626995,0.52538864101274,0.692148431278866,0.6591355599214146,0.7675863991081383,0.21398749938512485,0.47422444092155924,0.4966616705273198,0.42954545454545456,0.48924410682654307,-0.9347660092171819,0.27122630068890774,0.7897320704907024,0.7788309636650869,0.8628511219692935,0.2290190336862119,0.5089720618266007,0.7248580660050773,0.7240333586050038,0.8048580660050773,0.21271353319683184,0.4680946885229342
lstm,0.701195219123506,0.6963562753036437,0.701195219123506,-0.5087926034559247,0.35550802454771685,0.6538461538461539,0.593320235756385,0.6538461538461539,-0.567525494109371,0.32708247414935726,0.8806179775280899,0.8862876254180602,0.8806179775280899,-0.1863927062326063,0.4691424188747049,0.7419354838709677,0.6461295418641391,0.7419354838709677,-0.2939171392916906,0.39750968341211834,0.6142857142857143,0.5905989385898408,0.6142857142857143,-0.6897741634447292,0.2893311595467897
