,clath_aux+gak_balanced_accuracy,clath_aux+gak_accuracy,clath_aux+gak_roc_auc,clath_aux+gak_r2,clath_aux+gak_corr,clath_aux+gak_a7d2_balanced_accuracy,clath_aux+gak_a7d2_accuracy,clath_aux+gak_a7d2_roc_auc,clath_aux+gak_a7d2_r2,clath_aux+gak_a7d2_corr,clath_aux+gak_a7d2_new_balanced_accuracy,clath_aux+gak_a7d2_new_accuracy,clath_aux+gak_a7d2_new_roc_auc,clath_aux+gak_a7d2_new_r2,clath_aux+gak_a7d2_new_corr,clath_aux+gak_new_balanced_accuracy,clath_aux+gak_new_accuracy,clath_aux+gak_new_roc_auc,clath_aux+gak_new_r2,clath_aux+gak_new_corr,clath_aux_dynamin_balanced_accuracy,clath_aux_dynamin_accuracy,clath_aux_dynamin_roc_auc,clath_aux_dynamin_r2,clath_aux_dynamin_corr,clath_gak_balanced_accuracy,clath_gak_accuracy,clath_gak_roc_auc,clath_gak_r2,clath_gak_corr
gb_basic,0.8149869657173774,0.8157894736842105,0.8967914350827144,0.42683610118487314,0.6590992192414136,0.7256888039496735,0.7210216110019646,0.8126373626373625,0.2719533017666813,0.5233917308863719,0.8339808716116348,0.8294314381270903,0.9076567365505761,0.44032464442132424,0.6696117714306027,0.8454368617279948,0.8309636650868878,0.9148970659750365,0.3983797576339705,0.6322439141065336,0.8280515197359783,0.8266524772377912,0.9115726566882706,0.3858525996712714,0.6227682458527414,0.7636164320332333,0.7649734647460197,0.84859450726979,0.30655546786552546,0.5551820838916802
gb_dasc,0.7817782368468513,0.7813765182186235,0.8486055776892429,0.2986763701289411,0.5476372546104964,0.7384018155757286,0.7288801571709234,0.7944935499283325,0.25015740159564137,0.5025008430386354,0.8123968602465309,0.8066889632107024,0.8340490335356666,0.3157700936614932,0.563124371506566,0.8143308709445847,0.7883096366508688,0.8845147395966004,0.3221441303525866,0.5685158510646532,0.8187502051479452,0.8074967482558827,0.8965688819660782,0.3371532368756338,0.5813318202653884,0.7407327486729749,0.7391963608794542,0.8175398107546735,0.23817715480631918,0.4885100497584764
rf_basic,0.8048300624661846,0.805668016194332,0.8912498155526043,0.40840360123585007,0.6407693597053997,0.7276875298614429,0.7200392927308448,0.8149506290810637,0.2681514227904501,0.5211405815557297,0.8370463644582203,0.8327759197324415,0.8957248123753354,0.4271577492717963,0.6570046376969988,0.8365386842044322,0.8262243285939969,0.8995669592200636,0.35579725002469376,0.5977430202849157,0.8236252663193325,0.8203854794844507,0.9039325742113369,0.37630461009469207,0.6134985269611869,0.7610396953611815,0.7619408642911296,0.8451673205631203,0.2885890544335785,0.5417035589884159
rf_dasc,0.7613332677520371,0.7611336032388664,0.8329972291902349,0.26725788953491536,0.524363301115888,0.7210264373307851,0.7151277013752456,0.7730729415512024,0.2036390882596204,0.45809704173012755,0.7940074906367041,0.7879598662207358,0.7895177723248239,0.2592173915422338,0.5145291581782613,0.7790449945580437,0.7567140600315956,0.8307320010189194,0.22438046495651454,0.48476927115109214,0.7918248170826321,0.7858578692207638,0.8617151785607717,0.2686600760346525,0.5253974624954076,0.7279021463189477,0.7270659590598939,0.7914816524348026,0.17677765204491092,0.4396087297461108
ridge_basic,0.8072811634121948,0.8076923076923077,0.8923155116160871,0.39648896860336313,0.632629569279527,0.7271062271062271,0.7210216110019646,0.8056059882146839,0.2598486745154205,0.5099038527202628,0.846624908519523,0.842809364548495,0.8969840142350798,0.3904107023310539,0.6280535636942455,0.8375807609475951,0.8183254344391785,0.907706736447213,0.37887808809117773,0.6169440558099645,0.8334869145450639,0.830081589216034,0.910403126902281,0.37558689444701154,0.6134811827990839,0.7569409185321947,0.7573919636087946,0.8414516501269328,0.28757550521595243,0.5370453082654219
ridge_dasc,0.7640466938829047,0.7631578947368421,0.8429000049185972,0.27225191425408124,0.521969596623276,0.7174709348622392,0.7013752455795678,0.7909619366141105,0.24008316871892643,0.49047627854837783,0.8348759452982623,0.8307692307692308,0.844449108155036,0.3125097342717428,0.5609361035240853,0.7965229372669801,0.7582938388625592,0.8782622791376236,0.30871876288047206,0.5572568930271647,0.8109331359437104,0.7865673406645383,0.8930143519015846,0.3199682310452914,0.5669609810578925,0.7395315024232634,0.734647460197119,0.8088345257327487,0.22453705176603667,0.4748366055128927
svm_basic,0.8091420326922762,0.8097165991902834,0.8931680684668732,0.40742451366680743,0.6474230527081717,0.7310320114667941,0.7239685658153242,0.8164914795349578,0.24365965132875667,0.5205147951670077,0.8307225522694334,0.8254180602006689,0.8997858280597529,0.4108553345314928,0.6517143474816204,0.8486846675775189,0.8372827804107424,0.9178959312692494,0.37140474865933604,0.6238590322057728,0.8313788329096096,0.8356391155256001,0.9077843201322494,0.35631262732623614,0.6216441247353661,0.7653254096468959,0.7664897649734648,0.8501200092314793,0.27479170216242677,0.5514240708223573
svm_dasc,0.7779909169904744,0.7773279352226721,0.84552325676717,0.2846022986183747,0.5453595166192041,0.7420727822901736,0.7298624754420432,0.7973045070871158,0.25203206432714154,0.5096028361880683,0.810417473847346,0.8046822742474916,0.8212794351887727,0.29151343004412744,0.5615542721099843,0.8106662343977955,0.7851500789889415,0.8763170692170531,0.2898101095814013,0.5560775067175016,0.823122653853499,0.8112805959560128,0.8959728339360954,0.3073709671072522,0.5780172905934524,0.740392337872144,0.7384382107657316,0.8187860604661898,0.21527078322131699,0.48423810691363106
lstm,0.8191677733510403,0.819838056680162,0.9041201449346646,0.45286193960538124,0.6744636160174636,0.7331581462016244,0.7239685658153242,0.8085403726708076,0.23066888347618852,0.5100973119407749,0.8364060011192905,0.831438127090301,0.9098899364300371,0.44819224300661,0.6697104976839755,0.8464905171016373,0.8436018957345972,0.9141791908853021,0.38773454767513393,0.6252736432144937,0.8492638172736062,0.8488825824760553,0.9133285987674215,0.39260136351259034,0.6267906986354854,0.7652919455342719,0.7672479150871873,0.852711747057466,0.29014933771337026,0.5556313380387576
