,vps4_snf7_balanced_accuracy,vps4_snf7_accuracy,vps4_snf7_roc_auc,vps4_snf7_r2,vps4_snf7_corr,vps4_snf7_recall,vps4_snf7_f1
gb_basic,0.6491633350994653,0.5452653485952134,0.7161967149944608,0.13217237210171406,0.38672750793674765,0.8061538461538461,0.37482117310443486
gb_dasc,0.5886787726988103,0.36940686784599375,0.6918674437647512,-0.24739850592970636,0.26286436719739725,0.92,0.33038674033149174
rf_basic,0.6304108665285872,0.46930280957336107,0.7268301141563508,0.05510062372216051,0.3849074931931172,0.8738461538461538,0.35768261964735515
rf_dasc,0.5902384278213959,0.41883454734651404,0.622426665382207,-0.4719022891531808,0.17806803743477223,0.8492307692307692,0.33073696824445775
ridge_basic,0.6303299455710226,0.4630593132154006,0.7398834352873175,0.11694898409274435,0.41118685905561075,0.8830769230769231,0.3574097135740971
ridge_dasc,0.5845816675497327,0.36056191467221643,0.7051837580078032,-0.09987858532106886,0.3185573725802193,0.9230769230769231,0.3280481137233461
svm_basic,0.6151640094407784,0.7819979188345474,0.7186513173739222,0.048851999578799044,0.3585934811024995,0.3630769230769231,0.3603053435114503
svm_dasc,0.6520080920957565,0.5520291363163371,0.7116343143393864,-0.0226876800859257,0.3159661938014416,0.803076923076923,0.37744034707158347
lstm,0.6732652569722075,0.6321540062434964,0.7208862771542796,0.13299144462520773,0.37057707287496117,0.7353846153846154,0.4033755274261604
