,comb_balanced_accuracy,comb_accuracy,comb_roc_auc,comb_r2,comb_corr,comb_recall,comb_f1
gb_basic,0.708016612942524,0.6916606584955539,0.7914899277734679,0.06444623793317894,0.464608360455189,0.7471074380165289,0.5849239728243287
gb_dasc,0.6327761145542483,0.7315549146839702,0.6994657925174546,0.10614533659419068,0.34160343479099153,0.39669421487603307,0.4622051035146847
rf_basic,0.7260400592599231,0.7334775294400384,0.7849254069918867,0.07739921575821063,0.4564636300159217,0.7082644628099174,0.6071555083244775
rf_dasc,0.6808087187142053,0.7543859649122807,0.7757013311078188,0.16380203914627622,0.4472651492926962,0.5049586776859504,0.5445632798573975
ridge_basic,0.5552390140896348,0.7339581831290555,0.748427623637876,0.14166806625481,0.3872155672083593,0.128099173553719,0.21877205363443894
ridge_dasc,0.4809026776187369,0.6724345109348714,0.47760739460779505,-0.06884288316502807,-0.033816417535418045,0.023140495867768594,0.03946441155743481
svm_basic,0.534913084512604,0.7279500120163422,0.6713227901453772,-0.07686361291694088,0.2456454545993495,0.07355371900826446,0.13587786259541984
svm_dasc,0.547809539279303,0.7327565489065129,0.6954341013411898,0.016702392632580998,0.3313966976078503,0.10578512396694215,0.1871345029239766
lstm,0.9086006704548956,0.87070415765441,0.9991141817733727,0.3227192972395524,0.9238863683158889,0.9991735537190083,0.8179972936400541
